FID	IID	PRS
ID_1	ID_1	-0.0044356
ID_2	ID_2	0.00205821
ID_3	ID_3	0.00151115
ID_4	ID_4	-0.000149276
ID_5	ID_5	0.00719859
ID_6	ID_6	0.00671859
ID_7	ID_7	-4.12157e-05
ID_8	ID_8	-0.00420228
ID_9	ID_9	-0.000668536
ID_10	ID_10	0.00645092
ID_11	ID_11	5.92859e-05
ID_12	ID_12	0.00142115
ID_13	ID_13	-0.00412992
ID_14	ID_14	-0.000691883
ID_15	ID_15	-0.00235483
ID_16	ID_16	-0.00429467
ID_17	ID_17	0.00371328
ID_18	ID_18	0.00224917
ID_19	ID_19	-0.00601981
ID_20	ID_20	-0.00116026
ID_21	ID_21	0.000525108
ID_22	ID_22	0.00384776
ID_23	ID_23	0.00250753
ID_24	ID_24	0.00477772
ID_25	ID_25	0.00962239
ID_26	ID_26	-0.000799491
ID_27	ID_27	-0.000330387
ID_28	ID_28	0.00270593
ID_29	ID_29	-0.00446994
ID_30	ID_30	0.00608397
ID_31	ID_31	-0.00165763
ID_32	ID_32	-0.00289379
ID_33	ID_33	0.00458193
ID_34	ID_34	-0.0024542
ID_35	ID_35	0.000735172
ID_36	ID_36	-0.00416638
ID_37	ID_37	-0.001401
ID_38	ID_38	0.00472959
ID_39	ID_39	0.00641077
ID_40	ID_40	0.000277218
ID_41	ID_41	-0.00647066
ID_42	ID_42	0.0029486
ID_43	ID_43	0.000674813
ID_44	ID_44	0.00530475
ID_45	ID_45	-0.00305
ID_46	ID_46	-0.00527979
ID_47	ID_47	-0.00313411
ID_48	ID_48	0.00317942
ID_49	ID_49	0.00243119
ID_50	ID_50	-0.00215125
ID_51	ID_51	0.00942635
ID_52	ID_52	0.000454678
ID_53	ID_53	-0.000343578
ID_54	ID_54	-0.000335916
ID_55	ID_55	0.00482979
ID_56	ID_56	-0.0137625
ID_57	ID_57	0.00511085
ID_58	ID_58	0.00335095
ID_59	ID_59	0.00143858
ID_60	ID_60	-0.00510505
ID_61	ID_61	0.00514173
ID_62	ID_62	0.000110634
ID_63	ID_63	0.0011561
ID_64	ID_64	0.00328367
ID_65	ID_65	0.000702582
ID_66	ID_66	-0.00145468
ID_67	ID_67	-0.00340981
ID_68	ID_68	-0.00328361
ID_69	ID_69	-0.00185847
ID_70	ID_70	0.000120739
ID_71	ID_71	-0.000495058
ID_72	ID_72	-0.00448857
ID_73	ID_73	-0.00412447
ID_74	ID_74	0.00400825
ID_75	ID_75	0.0060643
ID_76	ID_76	0.00320074
ID_77	ID_77	-0.000761834
ID_78	ID_78	-0.00728063
ID_79	ID_79	0.0093471
ID_80	ID_80	0.000931625
ID_81	ID_81	-0.00128989
ID_82	ID_82	-0.00405609
ID_83	ID_83	-0.0056461
ID_84	ID_84	-0.0024738
ID_85	ID_85	0.000584784
ID_86	ID_86	-0.00464418
ID_87	ID_87	0.00416376
ID_88	ID_88	0.000441588
ID_89	ID_89	0.00569298
ID_90	ID_90	0.00653541
ID_91	ID_91	-0.0008718
ID_92	ID_92	2.9999e-05
ID_93	ID_93	0.00124794
ID_94	ID_94	0.0167098
ID_95	ID_95	0.000429202
ID_96	ID_96	-0.00915875
ID_97	ID_97	0.00423797
ID_98	ID_98	-0.00434712
ID_99	ID_99	-0.00443959
ID_100	ID_100	-0.00663821
ID_101	ID_101	0.00338647
ID_102	ID_102	0.00101342
ID_103	ID_103	0.0054171
ID_104	ID_104	0.00278488
ID_105	ID_105	-0.00240511
ID_106	ID_106	-0.0055783
ID_107	ID_107	-0.00320592
ID_108	ID_108	0.00298413
ID_109	ID_109	-0.00353636
ID_110	ID_110	-0.00678014
ID_111	ID_111	0.006113
ID_112	ID_112	0.000822313
ID_113	ID_113	0.00657773
ID_114	ID_114	0.0034061
ID_115	ID_115	-0.00431436
ID_116	ID_116	-0.00412828
ID_117	ID_117	-0.00785212
ID_118	ID_118	-0.0026064
ID_119	ID_119	-0.00198542
ID_120	ID_120	0.00307236
ID_121	ID_121	0.00587154
ID_122	ID_122	0.00750543
ID_123	ID_123	-0.0032198
ID_124	ID_124	0.00628244
ID_125	ID_125	0.000969838
ID_126	ID_126	0.00943476
ID_127	ID_127	-0.00381925
ID_128	ID_128	-0.00176106
ID_129	ID_129	-0.00532331
ID_130	ID_130	0.000442646
ID_131	ID_131	0.00324983
ID_132	ID_132	-0.0067852
ID_133	ID_133	-0.00246166
ID_134	ID_134	-0.00810005
ID_135	ID_135	0.00186024
ID_136	ID_136	0.00413738
ID_137	ID_137	0.00104263
ID_138	ID_138	-0.00519326
ID_139	ID_139	0.00532396
ID_140	ID_140	0.00174631
ID_141	ID_141	0.00569608
ID_142	ID_142	0.000716995
ID_143	ID_143	-0.00054701
ID_144	ID_144	-0.00561724
ID_145	ID_145	-0.00554804
ID_146	ID_146	-0.00341137
ID_147	ID_147	-0.0105756
ID_148	ID_148	-0.000535098
ID_149	ID_149	-0.00148463
ID_150	ID_150	0.000815039
ID_151	ID_151	-0.000270489
ID_152	ID_152	0.000320454
ID_153	ID_153	0.00697056
ID_154	ID_154	-0.00299177
ID_155	ID_155	0.00198233
ID_156	ID_156	-0.00260139
ID_157	ID_157	0.00135204
ID_158	ID_158	-0.00109866
ID_159	ID_159	0.00406288
ID_160	ID_160	-0.00224485
ID_161	ID_161	0.00381777
ID_162	ID_162	-0.00040888
ID_163	ID_163	-0.00225148
ID_164	ID_164	0.00619461
ID_165	ID_165	0.00711408
ID_166	ID_166	0.00110536
