FID	IID	PRS
ID_1	ID_1	0.000365119
ID_2	ID_2	7.85742e-05
ID_3	ID_3	0.00203304
ID_4	ID_4	0.000882207
ID_5	ID_5	-0.00164722
ID_6	ID_6	0.000379404
ID_7	ID_7	-0.000643163
ID_8	ID_8	-0.000274358
ID_9	ID_9	0.00100379
ID_10	ID_10	-1.96232e-06
ID_11	ID_11	0.00121163
ID_12	ID_12	0.00170439
ID_13	ID_13	3.22775e-05
ID_14	ID_14	-0.000292769
ID_15	ID_15	0.000382709
ID_16	ID_16	0.00012477
ID_17	ID_17	0.00100399
ID_18	ID_18	-0.000182673
ID_19	ID_19	0.00023646
ID_20	ID_20	-0.000344804
ID_21	ID_21	0.000380743
ID_22	ID_22	0.0010952
ID_23	ID_23	0.000788638
ID_24	ID_24	-0.000480689
ID_25	ID_25	-0.000360714
ID_26	ID_26	0.00109535
ID_27	ID_27	-0.0003466
ID_28	ID_28	-0.000389295
ID_29	ID_29	-0.000504918
ID_30	ID_30	0.000549129
ID_31	ID_31	0.000310591
ID_32	ID_32	0.00188081
ID_33	ID_33	0.000321673
ID_34	ID_34	0.000319392
ID_35	ID_35	-0.00111901
ID_36	ID_36	-0.000463012
ID_37	ID_37	0.00102304
ID_38	ID_38	0.000737892
ID_39	ID_39	-9.37199e-05
ID_40	ID_40	-0.0012988
ID_41	ID_41	0.00121494
ID_42	ID_42	3.74048e-05
ID_43	ID_43	-0.000972931
ID_44	ID_44	-0.00117316
ID_45	ID_45	0.000922047
ID_46	ID_46	-0.000264437
ID_47	ID_47	-0.000186421
ID_48	ID_48	-0.000406748
ID_49	ID_49	0.000644054
ID_50	ID_50	0.00122319
ID_51	ID_51	0.00111479
ID_52	ID_52	-0.000659411
ID_53	ID_53	0.000161127
ID_54	ID_54	-0.000383326
ID_55	ID_55	0.00316925
ID_56	ID_56	0.000895514
ID_57	ID_57	0.00102045
ID_58	ID_58	-0.000238343
ID_59	ID_59	-0.000714516
ID_60	ID_60	0.000835792
ID_61	ID_61	-0.000155821
ID_62	ID_62	-0.000385252
ID_63	ID_63	-0.00042969
ID_64	ID_64	-0.000565525
ID_65	ID_65	-0.00205682
ID_66	ID_66	-0.00116677
ID_67	ID_67	-0.000712961
ID_68	ID_68	0.00227005
ID_69	ID_69	0.000281834
ID_70	ID_70	0.000423091
ID_71	ID_71	2.94736e-06
ID_72	ID_72	0.000374723
ID_73	ID_73	-0.00018311
ID_74	ID_74	-0.000619379
ID_75	ID_75	-0.000643646
ID_76	ID_76	-0.000270824
ID_77	ID_77	-0.000944525
ID_78	ID_78	-0.000456163
ID_79	ID_79	-0.00160158
ID_80	ID_80	-0.000394236
ID_81	ID_81	7.76985e-05
ID_82	ID_82	-0.00102723
ID_83	ID_83	0.00133134
ID_84	ID_84	-0.000915988
ID_85	ID_85	0.000389405
ID_86	ID_86	0.000505923
ID_87	ID_87	1.08594e-05
ID_88	ID_88	0.000337318
ID_89	ID_89	-0.0004295
ID_90	ID_90	-0.00195937
ID_91	ID_91	9.01886e-05
ID_92	ID_92	0.00114928
ID_93	ID_93	-0.000720998
ID_94	ID_94	-0.00216708
ID_95	ID_95	-0.00117047
ID_96	ID_96	-0.000425768
ID_97	ID_97	-0.000229453
ID_98	ID_98	0.00136522
ID_99	ID_99	-0.000719589
ID_100	ID_100	-0.00121252
ID_101	ID_101	0.000398816
ID_102	ID_102	0.00260438
ID_103	ID_103	0.000428683
ID_104	ID_104	0.000509423
ID_105	ID_105	-6.22229e-05
ID_106	ID_106	-0.00133324
ID_107	ID_107	5.06858e-06
ID_108	ID_108	0.00134389
ID_109	ID_109	-0.000813502
ID_110	ID_110	0.000261352
ID_111	ID_111	-0.00106286
ID_112	ID_112	-0.000738264
ID_113	ID_113	-0.000413728
ID_114	ID_114	0.000710404
ID_115	ID_115	-0.000921644
ID_116	ID_116	-0.000184245
ID_117	ID_117	0.000683524
ID_118	ID_118	0.000532465
ID_119	ID_119	3.18328e-05
ID_120	ID_120	0.000363956
ID_121	ID_121	-0.000901042
ID_122	ID_122	0.000435465
ID_123	ID_123	0.000796529
ID_124	ID_124	-0.000282898
ID_125	ID_125	0.00257925
ID_126	ID_126	0.00100837
ID_127	ID_127	0.000303137
ID_128	ID_128	-0.0020356
ID_129	ID_129	0.00115107
ID_130	ID_130	0.00140297
ID_131	ID_131	-0.000618636
ID_132	ID_132	0.000153661
ID_133	ID_133	-0.000107711
ID_134	ID_134	-0.00220619
ID_135	ID_135	0.000637803
ID_136	ID_136	-6.00288e-05
ID_137	ID_137	0.000246709
ID_138	ID_138	-0.00208541
ID_139	ID_139	-0.00188853
ID_140	ID_140	0.000524485
ID_141	ID_141	0.000387241
ID_142	ID_142	-0.00176268
ID_143	ID_143	0.00170955
ID_144	ID_144	0.00106364
ID_145	ID_145	0.00119534
ID_146	ID_146	0.000610569
ID_147	ID_147	-0.000876678
ID_148	ID_148	0.000837395
ID_149	ID_149	-0.000776399
ID_150	ID_150	-0.000722716
ID_151	ID_151	-0.000546085
ID_152	ID_152	-0.000786102
ID_153	ID_153	0.00065193
ID_154	ID_154	-0.0005468
ID_155	ID_155	-0.000316382
ID_156	ID_156	0.00256151
ID_157	ID_157	3.76488e-05
ID_158	ID_158	0.00129323
ID_159	ID_159	-0.000221145
ID_160	ID_160	0.000483952
ID_161	ID_161	0.0024973
ID_162	ID_162	0.000150278
ID_163	ID_163	0.000472782
ID_164	ID_164	0.000660524
ID_165	ID_165	-0.000827974
ID_166	ID_166	0.000695094
ID_167	ID_167	-0.00147351
ID_168	ID_168	0.00067397
ID_169	ID_169	0.000164193
ID_170	ID_170	0.000618358
ID_171	ID_171	-0.00156226
ID_172	ID_172	-0.00121136
ID_173	ID_173	0.00163565
ID_174	ID_174	-0.00111088
ID_175	ID_175	0.000351681
ID_176	ID_176	0.000317565
ID_177	ID_177	0.00129129
ID_178	ID_178	0.00099674
ID_179	ID_179	7.0895e-05
ID_180	ID_180	-0.00109303
ID_181	ID_181	0.00138791
ID_182	ID_182	0.00144827
ID_183	ID_183	0.00216243
ID_184	ID_184	-0.00136464
ID_185	ID_185	0.000344581
ID_186	ID_186	0.000699695
ID_187	ID_187	-0.00129741
ID_188	ID_188	-0.000223237
ID_189	ID_189	-6.68568e-05
ID_190	ID_190	2.88675e-05
ID_191	ID_191	0.000337871
ID_192	ID_192	0.000369249
ID_193	ID_193	0.00111433
ID_194	ID_194	0.000359433
ID_195	ID_195	-0.00150034
ID_196	ID_196	0.00063341
ID_197	ID_197	-0.00109995
ID_198	ID_198	-0.000783594
ID_199	ID_199	-0.00078184
ID_200	ID_200	-0.000549749
ID_201	ID_201	0.00131927
ID_202	ID_202	3.16609e-05
ID_203	ID_203	-0.00136889
ID_204	ID_204	0.00100398
ID_205	ID_205	-0.000161277
ID_206	ID_206	0.00132636
ID_207	ID_207	0.000105331
ID_208	ID_208	-0.00218871
ID_209	ID_209	0.000883208
ID_210	ID_210	-0.0010119
ID_211	ID_211	0.000110255
ID_212	ID_212	0.000128151
ID_213	ID_213	0.000590911
ID_214	ID_214	-0.000550176
ID_215	ID_215	-0.000730818
ID_216	ID_216	-0.00145139
ID_217	ID_217	7.04776e-05
ID_218	ID_218	-0.00118673
ID_219	ID_219	-0.00151331
ID_220	ID_220	-0.000516205
ID_221	ID_221	-0.000952587
ID_222	ID_222	7.2904e-05
ID_223	ID_223	-0.00055725
ID_224	ID_224	-0.000410091
ID_225	ID_225	-0.00134346
ID_226	ID_226	0.000728224
ID_227	ID_227	-0.000903739
ID_228	ID_228	0.000223979
ID_229	ID_229	-0.000794849
ID_230	ID_230	-0.00131291
ID_231	ID_231	0.00163672
ID_232	ID_232	2.09797e-05
ID_233	ID_233	0.000520865
ID_234	ID_234	-0.000651135
