FID	IID	PRS
ID_1	ID_1	0.000848119
ID_2	ID_2	-0.000240899
ID_3	ID_3	-0.000150278
ID_4	ID_4	-0.00237332
ID_5	ID_5	0.00892178
ID_6	ID_6	-0.000240915
ID_7	ID_7	0.00366422
ID_8	ID_8	-0.000586576
ID_9	ID_9	0.00416486
ID_10	ID_10	0.0115266
ID_11	ID_11	0.0053607
ID_12	ID_12	0.0105319
ID_13	ID_13	0.00722857
ID_14	ID_14	-0.00108416
ID_15	ID_15	-0.00571575
ID_16	ID_16	0.00871852
ID_17	ID_17	0.00865293
ID_18	ID_18	0.00255182
ID_19	ID_19	0.00195021
ID_20	ID_20	0.00635766
ID_21	ID_21	0.00458704
ID_22	ID_22	-0.0142757
ID_23	ID_23	0.00214348
ID_24	ID_24	0.00250702
ID_25	ID_25	-0.002753
ID_26	ID_26	-0.000482225
ID_27	ID_27	0.0103644
ID_28	ID_28	0.00770033
ID_29	ID_29	0.00559889
ID_30	ID_30	0.00409763
ID_31	ID_31	0.00296765
ID_32	ID_32	0.0034365
ID_33	ID_33	-0.00528364
ID_34	ID_34	-0.0023616
ID_35	ID_35	0.00586974
ID_36	ID_36	0.00478273
ID_37	ID_37	0.00700406
ID_38	ID_38	-0.00623625
ID_39	ID_39	-0.00380485
ID_40	ID_40	0.00331166
ID_41	ID_41	0.00445117
ID_42	ID_42	0.0053518
ID_43	ID_43	0.00646982
ID_44	ID_44	0.00538654
ID_45	ID_45	-0.00115756
ID_46	ID_46	0.00978899
ID_47	ID_47	0.00256848
ID_48	ID_48	0.00344686
ID_49	ID_49	-0.000523591
ID_50	ID_50	0.011107
ID_51	ID_51	-0.000681589
ID_52	ID_52	0.010694
ID_53	ID_53	0.0108269
ID_54	ID_54	0.00166712
ID_55	ID_55	0.000441132
ID_56	ID_56	-0.00206154
ID_57	ID_57	0.000802124
ID_58	ID_58	-0.00226719
ID_59	ID_59	0.00547039
ID_60	ID_60	-0.00446527
ID_61	ID_61	0.000366753
ID_62	ID_62	-0.000945068
ID_63	ID_63	0.00437548
ID_64	ID_64	-0.00530424
ID_65	ID_65	0.00541407
ID_66	ID_66	0.00122281
ID_67	ID_67	-0.0015568
ID_68	ID_68	0.00896438
ID_69	ID_69	0.00181066
ID_70	ID_70	-0.0116372
ID_71	ID_71	0.00516082
ID_72	ID_72	0.00803517
ID_73	ID_73	0.00237573
ID_74	ID_74	-0.00762144
ID_75	ID_75	-0.000698736
ID_76	ID_76	0.00527117
ID_77	ID_77	-0.00067405
ID_78	ID_78	0.00517232
ID_79	ID_79	0.0021525
ID_80	ID_80	0.00179662
ID_81	ID_81	-0.0032357
ID_82	ID_82	0.0059254
ID_83	ID_83	-0.00329431
ID_84	ID_84	0.00905353
ID_85	ID_85	0.00210452
ID_86	ID_86	-0.00740656
ID_87	ID_87	-0.00327377
ID_88	ID_88	0.00163747
ID_89	ID_89	-0.00174339
ID_90	ID_90	-0.00432904
ID_91	ID_91	0.00182534
ID_92	ID_92	0.0144867
ID_93	ID_93	-0.00293065
ID_94	ID_94	-0.0115142
ID_95	ID_95	0.00309257
ID_96	ID_96	0.0195207
ID_97	ID_97	0.0037771
ID_98	ID_98	-0.00443793
ID_99	ID_99	0.0016054
ID_100	ID_100	-0.00115924
ID_101	ID_101	-0.00436925
ID_102	ID_102	0.00287594
ID_103	ID_103	0.00593653
ID_104	ID_104	0.00844893
ID_105	ID_105	-0.00535739
ID_106	ID_106	0.00149059
ID_107	ID_107	0.00501451
ID_108	ID_108	-0.00258804
ID_109	ID_109	0.0140458
ID_110	ID_110	0.00481886
ID_111	ID_111	-0.00352717
ID_112	ID_112	0.00209976
ID_113	ID_113	-0.00547149
ID_114	ID_114	0.00422853
ID_115	ID_115	0.0109296
ID_116	ID_116	-0.0105835
ID_117	ID_117	0.000608757
ID_118	ID_118	0.00216227
ID_119	ID_119	-0.00228591
ID_120	ID_120	0.00288757
ID_121	ID_121	0.00713299
ID_122	ID_122	0.00891848
ID_123	ID_123	-0.00170115
ID_124	ID_124	0.00914622
ID_125	ID_125	0.0029815
ID_126	ID_126	-0.00355119
ID_127	ID_127	0.00694207
ID_128	ID_128	-0.00193693
ID_129	ID_129	0.000247869
ID_130	ID_130	0.0175129
ID_131	ID_131	0.00536334
ID_132	ID_132	0.000519662
ID_133	ID_133	-0.00523281
ID_134	ID_134	0.00335295
ID_135	ID_135	0.00114061
ID_136	ID_136	-0.00398257
ID_137	ID_137	-9.08914e-05
ID_138	ID_138	0.00602745
ID_139	ID_139	-0.0035295
ID_140	ID_140	0.00848641
ID_141	ID_141	-0.00275182
ID_142	ID_142	0.00299235
ID_143	ID_143	0.0123665
ID_144	ID_144	-0.000754097
ID_145	ID_145	-0.00217364
ID_146	ID_146	-0.00274938
ID_147	ID_147	0.019286
ID_148	ID_148	0.00160139
ID_149	ID_149	0.00170486
ID_150	ID_150	-0.000200427
ID_151	ID_151	0.00895244
ID_152	ID_152	-0.00199675
ID_153	ID_153	0.000127423
ID_154	ID_154	0.00616587
ID_155	ID_155	0.00659744
ID_156	ID_156	-0.00982219
ID_157	ID_157	0.00859479
ID_158	ID_158	0.00348726
ID_159	ID_159	0.00447258
ID_160	ID_160	0.00665956
ID_161	ID_161	0.0015269
ID_162	ID_162	-0.00221838
ID_163	ID_163	-0.000672184
ID_164	ID_164	0.00100003
ID_165	ID_165	-0.00604033
ID_166	ID_166	-0.00586768
ID_167	ID_167	-0.00871703
ID_168	ID_168	0.00169952
ID_169	ID_169	0.00297798
ID_170	ID_170	-0.00452051
ID_171	ID_171	0.00661649
ID_172	ID_172	7.74088e-05
ID_173	ID_173	-0.00646245
ID_174	ID_174	0.00677636
ID_175	ID_175	0.00104348
ID_176	ID_176	-0.00312702
ID_177	ID_177	0.00610874
ID_178	ID_178	0.000878121
ID_179	ID_179	-0.00392635
ID_180	ID_180	0.00699257
ID_181	ID_181	-0.0036487
ID_182	ID_182	-0.0060359
ID_183	ID_183	-0.00240739
ID_184	ID_184	0.00222981
ID_185	ID_185	0.0103078
ID_186	ID_186	-0.00710334
ID_187	ID_187	-0.00103544
ID_188	ID_188	0.00478674
ID_189	ID_189	-0.000866378
ID_190	ID_190	0.00687234
ID_191	ID_191	-0.001177
ID_192	ID_192	-0.0024233
ID_193	ID_193	-0.00110103
ID_194	ID_194	-0.000114188
ID_195	ID_195	-0.000288023
ID_196	ID_196	-0.00888419
ID_197	ID_197	0.00456077
ID_198	ID_198	0.00176694
ID_199	ID_199	0.00459367
ID_200	ID_200	-0.0118843
ID_201	ID_201	0.0121296
ID_202	ID_202	0.0028484
ID_203	ID_203	0.00146878
ID_204	ID_204	0.010077
ID_205	ID_205	0.00253363
ID_206	ID_206	-0.0024054
ID_207	ID_207	-0.00288207
ID_208	ID_208	0.00538278
ID_209	ID_209	-0.00124156
ID_210	ID_210	0.00578057
ID_211	ID_211	0.00616099
ID_212	ID_212	-0.00606709
ID_213	ID_213	0.000728742
ID_214	ID_214	-0.00120167
ID_215	ID_215	0.00100326
ID_216	ID_216	-0.000174106
ID_217	ID_217	0.00018519
ID_218	ID_218	-0.00645304
ID_219	ID_219	0.00412741
ID_220	ID_220	0.00823049
ID_221	ID_221	0.00362346
ID_222	ID_222	0.00137126
ID_223	ID_223	0.00717457
ID_224	ID_224	-0.0044887
